날짜,공휴일,요일,humidity(%),강수확률,최고기온,강수형태
2021-01-01,1,금,  60,30,11.0,0
2021-01-02,0,토,  70,20,10.0,0
2021-01-03,0,일,  70,20,12.0,0
2021-01-04,0,월,  60,0,12.0,0
2021-01-05,0,화,  65,20,8.0,0
2021-01-06,0,수,  55,30,3.0,0
2021-01-07,0,목,  75,90,3.0,3
2021-01-08,0,금,  75,90,5.0,3
2021-01-09,0,토,  75,80,8.0,3
2021-01-10,0,일,  65,30,8.0,0
2021-01-11,0,월,  75,30,9.0,0
2021-01-12,0,화,  60,30,14.0,0
2021-01-13,0,수,  65,0,16.0,0
2021-01-14,0,목,  75,0,17.0,0
2021-01-15,0,금,  70,20,10.0,0
2021-01-16,0,토,  70,20,7.0,0
2021-01-17,0,일,  55,30,11.0,0
2021-01-18,0,월,  45,0,11.0,0
2021-01-19,0,화,  60,0,14.0,0
2021-01-20,0,수,  75,30,17.0,0
2021-01-21,0,목,  80,30,18.0,0
2021-01-22,0,금,  85,60,16.0,1
2021-01-23,0,토,  85,80,15.0,1
2021-01-24,0,일,  70,20,16.0,0
2021-01-25,0,월,  75,10,16.0,0
2021-01-26,0,화,  75,30,14.0,0
2021-01-27,0,수,  50,10,13.0,0
2021-01-28,0,목,  55,20,8.0,0
2021-01-29,0,금,  65,20,12.0,0
2021-01-30,0,토,  65,0,15.0,0
2021-01-31,0,일,  60,30,15.0,0
2021-02-01,0,월,  80,80,9.0,1
2021-02-02,0,화,  65,0,10.0,0
2021-02-03,0,수,  65,0,12.0,0
2021-02-04,0,목,  60,10,13.0,0
2021-02-05,0,금,  65,30,17.0,0
2021-02-06,0,토,  80,0,17.0,0
2021-02-07,0,일,  60,0,10.0,0
2021-02-08,0,월,  65,0,11.0,0
2021-02-09,0,화,  70,0,14.0,0
2021-02-10,0,수,  70,20,16.0,0
2021-02-11,1,목,  80,20,17.0,0
2021-02-12,1,금,  70,30,19.0,0
2021-02-13,1,토,  70,0,18.0,0
2021-02-14,0,일,  90,70,14.0,1
2021-02-15,0,월,  65,0,11.0,0
2021-02-16,0,화,  70,30,6.0,0
2021-02-17,0,수,  70,60,7.0,3
2021-02-18,0,목,  65,30,13.0,0
2021-02-19,0,금,  65,0,18.0,0
2021-02-20,0,토,  80,0,19.0,0
2021-02-21,0,일,  90,0,20.0,0
2021-02-22,0,월,  55,0,16.0,0
2021-02-23,0,화,  45,20,16.0,0
2021-02-24,0,수,  55,0,17.0,0
2021-02-25,0,목,  80,70,14.0,1
2021-02-26,0,금,  65,60,15.0,1
2021-02-27,0,토,  70,20,17.0,0
2021-02-28,0,일,  90,60,19.0,1
2021-03-01,1,월,  90,70,13.0,1
2021-03-02,0,화,  65,0,13.0,0
2021-03-03,0,수,  70,20,16.0,0
2021-03-04,0,목,  90,80,18.0,1
2021-03-05,0,금,  75,20,18.0,0
2021-03-06,0,토,  80,30,14.0,0
2021-03-07,0,일,  75,30,16.0,0
2021-03-08,0,월,  65,20,16.0,0
2021-03-09,0,화,  65,30,18.0,0
2021-03-10,0,수,  75,0,18.0,0
2021-03-11,0,목,  80,30,18.0,0
2021-03-12,0,금,  80,30,17.0,0
2021-03-13,0,토,  75,20,18.0,0
2021-03-14,0,일,  60,0,18.0,0
2021-03-15,0,월,  80,30,20.0,0
2021-03-16,0,화,  65,10,18.0,0
2021-03-17,0,수,  65,10,19.0,0
2021-03-18,0,목,  80,20,18.0,0
2021-03-19,0,금,  85,30,19.0,0
2021-03-20,0,토,  85,30,16.0,0
2021-03-21,0,일,  60,10,15.0,0
2021-03-22,0,월,  50,0,17.0,0
2021-03-23,0,화,  65,0,18.0,0
2021-03-24,0,수,  75,20,20.0,0
2021-03-25,0,목,  75,0,20.0,0
2021-03-26,0,금,  65,0,19.0,0
2021-03-27,0,토,  100,90,20.0,1
2021-03-28,0,일,  85,0,22.0,0
2021-03-29,0,월,  65,0,20.0,0
2021-03-30,0,화,  55,0,20.0,0
2021-03-31,0,수,  65,20,19.0,0
2021-04-01,0,목,  90,60,20.0,1
2021-04-02,0,금,  90,30,20.0,0
2021-04-03,0,토,  100,60,18.0,1
2021-04-04,0,일,  80,30,18.0,0
2021-04-05,0,월,  50,0,19.0,0
2021-04-06,0,화,  45,0,21.0,0
2021-04-07,0,수,  55,20,21.0,0
2021-04-08,0,목,  40,0,19.0,0
2021-04-09,0,금,  70,20,18.0,0
2021-04-10,0,토,  65,0,20.0,0
2021-04-11,0,일,  80,20,19.0,0
2021-04-12,0,월,  100,84,21.0,1
2021-04-13,0,화,  65,30,17.0,0
2021-04-14,0,수,  45,0,18.0,0
2021-04-15,0,목,  65,20,19.0,0
2021-04-16,0,금,  75,30,20.0,0
2021-04-17,0,토,  45,0,19.0,0
2021-04-18,0,일,  45,0,21.0,0
2021-04-19,0,월,  45,0,21.0,0
2021-04-20,0,화,  60,0,22.0,0
2021-04-21,0,수,  60,20,22.0,0
2021-04-22,0,목,  70,30,22.0,0
2021-04-23,0,금,  70,30,22.0,0
2021-04-24,0,토,  80,10,23.0,0
2021-04-25,0,일,  70,20,21.0,0
2021-04-26,0,월,  55,0,21.0,0
2021-04-27,0,화,  85,30,22.0,0
2021-04-28,0,수,  90,20,23.0,0
2021-04-29,0,목,  70,0,23.0,0
2021-04-30,0,금,  40,10,20.0,0
2021-05-01,0,토,  65,0,19.0,0
2021-05-02,0,일,  50,0,20.0,0
2021-05-03,0,월,  75,20,21.0,0
2021-05-04,0,화,  100,80,24.0,1
2021-05-05,1,수,  50,0,22.0,0
2021-05-06,0,목,  50,20,23.0,0
2021-05-07,0,금,  65,10,23.0,0
2021-05-08,0,토,  90,30,23.0,0
2021-05-09,0,일,  65,0,24.0,0
2021-05-10,0,월,  100,30,23.0,0
2021-05-11,0,화,  95,71,23.0,1
2021-05-12,0,수,  90,30,24.0,0
2021-05-13,0,목,  85,20,24.0,0
2021-05-14,0,금,  95,30,23.0,0
2021-05-15,0,토,  100,30,24.0,0
2021-05-16,0,일,  100,70,24.0,1
2021-05-17,0,월,  80,20,24.0,0
2021-05-18,0,화,  70,0,24.0,0
2021-05-19,1,수,  80,20,23.0,0
2021-05-20,0,목,  100,30,24.0,0
2021-05-21,0,금,  60,0,24.0,0
2021-05-22,0,토,  70,0,25.0,0
2021-05-23,0,일,  65,30,26.0,0
2021-05-24,0,월,  60,0,26.0,0
2021-05-25,0,화,  50,0,23.0,0
2021-05-26,0,수,  85,60,25.0,1
2021-05-27,0,목,  75,0,24.0,0
2021-05-28,0,금,  65,10,25.0,0
2021-05-29,0,토,  65,0,25.0,0
2021-05-30,0,일,  55,0,25.0,0
2021-05-31,0,월,  60,0,26.0,0
2021-06-01,0,화,  70,0,25.0,0
2021-06-02,0,수,  90,30,25.0,0
2021-06-03,0,목,  100,30,26.0,0
2021-06-04,0,금,  55,0,25.0,0
2021-06-05,0,토,  85,0,26.0,0
2021-06-06,1,일,  70,0,27.0,0
2021-06-07,0,월,  80,0,27.0,0
2021-06-08,0,화,  95,20,26.0,0
2021-06-09,0,수,  95,30,26.0,0
2021-06-10,0,목,  100,70,25.0,1
2021-06-11,0,금,  95,20,27.0,0
2021-06-12,0,토,  90,30,26.0,0
2021-06-13,0,일,  85,20,27.0,0
2021-06-14,0,월,  85,0,25.0,0
2021-06-15,0,화,  100,79,26.0,1
2021-06-16,0,수,  90,30,26.0,0
2021-06-17,0,목,  90,30,26.0,0
2021-06-18,0,금,  95,30,28.0,0
2021-06-19,0,토,  65,0,28.0,0
2021-06-20,0,일,  80,30,29.0,0
2021-06-21,0,월,  65,10,28.0,0
2021-06-22,0,화,  85,0,27.0,0
2021-06-23,0,수,  90,20,26.0,0
2021-06-24,0,목,  90,30,26.0,0
2021-06-25,0,금,  85,20,26.0,0
2021-06-26,0,토,  85,30,27.0,0
2021-06-27,0,일,  80,0,28.0,0
2021-06-28,0,월,  80,10,28.0,0
2021-06-29,0,화,  85,0,29.0,0
2021-06-30,0,수,  85,20,29.0,0
2021-07-01,0,목,  85,20,29.0,0
2021-07-02,0,금,  90,30,28.0,0
2021-07-03,0,토,  100,60,28.0,1
2021-07-04,0,일,  95,60,28.0,1
2021-07-05,0,월,  100,60,28.0,1
2021-07-06,0,화,  100,60,28.0,1
2021-07-07,0,수,  100,60,28.0,1
2021-07-08,0,목,  95,60,28.0,1
2021-07-09,0,금,  100,30,28.0,0
2021-07-10,0,토,  95,20,29.0,0
2021-07-11,0,일,  95,30,30.0,0
2021-07-12,0,월,  95,20,29.0,0
2021-07-13,0,화,  100,20,30.0,0
2021-07-14,0,수,  95,30,30.0,0
2021-07-15,0,목,  85,20,30.0,0
2021-07-16,0,금,  85,0,30.0,0
2021-07-17,0,토,  90,20,29.0,1
2021-07-18,0,일,  90,60,30.0,0
2021-07-19,0,월,  85,30,31.0,0
2021-07-20,0,화,  75,0,32.0,0
2021-07-21,0,수,  75,0,31.0,0
2021-07-22,0,목,  80,0,32.0,0
2021-07-23,0,금,  80,30,32.0,0
2021-07-24,0,토,  75,20,30.0,1
2021-07-25,0,일,  90,60,30.0,1
2021-07-26,0,월,  90,60,31.0,0
2021-07-27,0,화,  85,0,31.0,0
2021-07-28,0,수,  80,0,31.0,0
2021-07-29,0,목,  75,0,29.0,1
2021-07-30,0,금,  90,60,31.0,0
2021-07-31,0,토,  90,20,31.0,0
2021-08-01,0,일,  80,20,31.0,0
2021-08-02,0,월,  90,30,31.0,0
2021-08-03,0,화,  85,20,31.0,0
2021-08-04,0,수,  85,20,32.0,0
2021-08-05,0,목,  80,20,33.0,0
2021-08-06,0,금,  75,0,33.0,0
2021-08-07,0,토,  80,0,32.0,1
2021-08-08,0,일,  80,60,32.0,0
2021-08-09,0,월,  75,0,31.0,0
2021-08-10,0,화,  75,0,29.0,0
2021-08-11,0,수,  90,20,28.0,1
2021-08-12,0,목,  90,60,29.0,1
2021-08-13,0,금,  85,60,28.0,0
2021-08-14,0,토,  90,30,30.0,1
2021-08-15,1,일,  85,60,29.0,0
2021-08-16,1,월,  90,30,30.0,0
2021-08-17,0,화,  80,20,29.0,0
2021-08-18,0,수,  80,20,28.0,0
2021-08-19,0,목,  85,0,29.0,0
2021-08-20,0,금,  90,30,27.0,1
2021-08-21,0,토,  95,100,28.0,0
2021-08-22,0,일,  95,30,29.0,1
2021-08-23,0,월,  100,60,29.0,1
2021-08-24,0,화,  100,60,29.0,0
2021-08-25,0,수,  100,20,30.0,0
2021-08-26,0,목,  75,30,29.0,0
2021-08-27,0,금,  95,20,29.0,0
2021-08-28,0,토,  95,20,30.0,0
2021-08-29,0,일,  90,20,30.0,0
2021-08-30,0,월,  85,0,29.0,0
2021-08-31,0,화,  85,20,29.0,0
2021-09-01,0,수,  95,20,29.0,1
2021-09-02,0,목,  90,60,29.0,1
2021-09-03,0,금,  90,60,29.0,0
2021-09-04,0,토,  80,30,29.0,1
2021-09-05,0,일,  90,60,27.0,1
2021-09-06,0,월,  90,60,30.0,0
2021-09-07,0,화,  85,20,29.0,0
2021-09-08,0,수,  70,0,28.0,0
2021-09-09,0,목,  80,20,26.0,0
2021-09-10,0,금,  95,30,29.0,0
2021-09-11,0,토,  90,30,29.0,0
2021-09-12,0,일,  90,30,27.0,1
2021-09-13,0,월,  95,85,28.0,1
2021-09-14,0,화,  95,65,27.0,0
2021-09-15,0,수,  90,30,27.0,1
2021-09-16,0,목,  95,70,29.0,0
2021-09-17,0,금,  85,20,27.0,0
2021-09-18,0,토,  85,20,28.0,0
2021-09-19,0,일,  80,0,28.0,0
2021-09-20,1,월,  85,20,27.0,0
2021-09-21,1,화,  80,0,29.0,0
2021-09-22,1,수,  85,0,28.0,0
2021-09-23,0,목,  65,0,27.0,0
2021-09-24,0,금,  75,0,27.0,0
2021-09-25,0,토,  80,20,27.0,0
2021-09-26,0,일,  85,20,28.0,0
2021-09-27,0,월,  85,20,28.0,0
2021-09-28,0,화,  85,30,28.0,1
2021-09-29,0,수,  95,60,28.0,0
2021-09-30,0,목,  85,20,29.0,0
2021-10-01,0,금,  75,0,28.0,0
2021-10-02,0,토,  80,0,29.0,0
2021-10-03,1,일,  85,0,28.0,0
2021-10-04,1,월,  85,0,29.0,0
2021-10-05,0,화,  80,20,28.0,0
2021-10-06,0,수,  85,20,28.0,0
2021-10-07,0,목,  80,20,28.0,0
2021-10-08,0,금,  75,20,28.0,0
2021-10-09,1,토,  80,20,28.0,1
2021-10-10,0,일,  95,60,28.0,0
2021-10-11,1,월,  90,30,27.0,0
2021-10-12,0,화,  95,30,27.0,0
2021-10-13,0,수,  90,30,28.0,0
2021-10-14,0,목,  85,30,27.0,0
2021-10-15,0,금,  85,30,22.0,0
2021-10-16,0,토,  80,30,17.0,0
2021-10-17,0,일,  55,0,20.0,0
2021-10-18,0,월,  65,30,21.0,0
2021-10-19,0,화,  70,0,18.0,0
2021-10-20,0,수,  70,20,19.0,0
2021-10-21,0,목,  65,0,20.0,0
2021-10-22,0,금,  60,0,21.0,0
2021-10-23,0,토,  65,0,22.0,0
2021-10-24,0,일,  75,30,23.0,0
2021-10-25,0,월,  65,0,22.0,0
2021-10-26,0,화,  75,0,23.0,0
2021-10-27,0,수,  65,0,22.0,0
2021-10-28,0,목,  60,0,22.0,0
2021-10-29,0,금,  65,0,22.0,0
2021-10-30,0,토,  80,20,23.0,0
2021-10-31,0,일,  65,0,23.0,0
2021-11-01,0,월,  75,0,20.0,0
2021-11-02,0,화,  65,20,21.0,0
2021-11-03,0,수,  70,20,22.0,0
2021-11-04,0,목,  70,0,22.0,0
2021-11-05,0,금,  70,30,22.0,0
2021-11-06,0,토,  65,20,23.0,0
2021-11-07,0,일,  65,0,18.0,0
2021-11-08,0,월,  65,20,16.0,0
2021-11-09,0,화,  65,20,17.0,0
2021-11-10,0,수,  70,30,18.0,0
2021-11-11,0,목,  70,20,16.0,0
2021-11-12,0,금,  65,20,18.0,0
2021-11-13,0,토,  60,20,20.0,0
2021-11-14,0,일,  60,0,20.0,0
2021-11-15,0,월,  70,0,20.0,0
2021-11-16,0,화,  65,20,19.0,0
2021-11-17,0,수,  60,30,20.0,0
2021-11-18,0,목,  70,0,21.0,0
2021-11-19,0,금,  60,0,21.0,0
2021-11-20,0,토,  75,20,21.0,0
2021-11-21,0,일,  75,30,14.0,0
2021-11-22,0,월,  50,0,13.0,0
2021-11-23,0,화,  60,20,16.0,0
2021-11-24,0,수,  60,0,19.0,0
2021-11-25,0,목,  70,0,17.0,0
2021-11-26,0,금,  60,0,17.0,0
2021-11-27,0,토,  60,0,18.0,0
2021-11-28,0,일,  70,20,19.0,0
2021-11-29,0,월,  75,20,18.0,0
2021-11-30,0,화,  75,30,13.0,0
2021-12-01,0,수,  65,30,14.0,0
2021-12-02,0,목,  70,20,15.0,0
2021-12-03,0,금,  65,30,15.0,0
2021-12-04,0,토,  60,0,16.0,0
2021-12-05,0,일,  65,20,18.0,0
2021-12-06,0,월,  70,20,17.0,0
2021-12-07,0,화,  70,0,17.0,0
2021-12-08,0,수,  65,20,18.0,0
2021-12-09,0,목,  70,30,19.0,0
2021-12-10,0,금,  80,0,16.0,0
2021-12-11,0,토,  80,30,15.0,0
2021-12-12,0,일,  70,20,11.0,0
2021-12-13,0,월,  70,20,14.0,0
2021-12-14,0,화,  70,0,17.0,0
2021-12-15,0,수,  75,20,17.0,0
2021-12-16,0,목,  90,30,9.0,2
2021-12-17,0,금,  60,60,8.0,0
2021-12-18,0,토,  80,30,12.0,0
2021-12-19,0,일,  60,0,15.0,0
2021-12-20,0,월,  60,0,18.0,0
2021-12-21,0,화,  75,0,18.0,0
2021-12-22,0,수,  55,0,17.0,0
2021-12-23,0,목,  70,0,16.0,0
2021-12-24,0,금,  75,30,6.0,0
2021-12-25,1,토,  70,30,5.0,3
2021-12-26,0,일,  70,60,9.0,0
2021-12-27,0,월,  65,20,11.0,0
2021-12-28,0,화,  70,30,13.0,0
2021-12-29,0,수,  60,30,9.0,0
2021-12-30,0,목,  50,20,8.0,0
2021-12-31,0,금,  60,20,11.0,0
